name,description,icon_color,long,lat,pic_url,thumb_url,is_video
石鼓书院,石鼓书院为中国四大书院之首，位于国家历史文化名城湖南省第二大城市衡阳市石鼓区，海拔69米，面积4000平方米。峻峭挺拔，风景奇异，历有湖南第一名胜之称。00名城衡阳人文荟萃，石鼓文脉绵延千年。石鼓书院是一座历经唐宋元明清民国六朝的千年学府，书院屡经扩建修葺，苏轼周敦颐朱熹张栻程洵郑向湛若水叶钊邹守益茅坤旷敏本赵大洲林学易王敬所蔡汝南胡东山李同野罗近隐王闿运曾熙等人在此执教，在衡阳培育了王居仁夏汝弼管嗣裘邹统鲁朱炳如伍定相曾朝节陈宗契王夫之曾国藩彭玉麟彭述杨度齐白石等一大批对中国历史产生重大影响的名人。,R,112.616553,26.911398,http://115.29.12.234/Esri/story/samples/hengyang/sgsy.jpg,http://115.29.12.234/Esri/story/samples/hengyang/sgsy.jpg,
西湖公园,西湖公园位于雁城中心区的北端，北临蒸水，冬倚蒸湘大道，西与南端为住宅开发区的道路。占地面积三百亩，其中陆地54%，水面占46%；通过山、水、绿地分隔空间，形成山水园林景观，有闹中取静的艺术意境。 西湖公园的功能分区：东与西片分别为青少年、老年活动区，“动”与“静”截然分开，迎合“老”与“少”情趣不同的需要；北片与岛区是全园的主要赏景区，适应不同层次游人欣赏湖光山色；南端主要是管理服务区。水面有聚有散，聚散结合，适应水上多样活动，南湖广阔，适宜快艇，中湖弯曲幽静宜于小游船荡漾，北湖广植荷花宜于泛舟赏荷。,R,112.606288,26.90976,http://115.29.12.234/Esri/story/samples/hengyang/xhgy.jpg,http://115.29.12.234/Esri/story/samples/hengyang/xhgy.jpg,
岳屏公园,在衡阳市城南，临近市中心，总面积21公顷。因园内有岳屏山而得名。山顶原有撷翠亭，翳隐芳林。清末，设岳屏书院于山顶,R,112.608212,26.890615,http://115.29.12.234/Esri/story/samples/hengyang/ypgy.jpg,http://115.29.12.234/Esri/story/samples/hengyang/ypgy.jpg,
平湖公园,平湖公园位于国家历史文化名城南中国交通中心湖南第二大城市衡阳市高新区，占地569亩，系衡阳市区面积最大的开放式健身休闲公园湖南省最大的健身文化广场和免费开放的运动场所衡阳市第一个计生文化广场。因园内有一个大面积的石狮堰水库，故名“平湖”。公园位于衡阳市蒸湘区船山大道与一环西路交汇处，于2007年10月1日建成对外开放。,R,112.574216,26.904594,http://115.29.12.234/Esri/story/samples/hengyang/phgy.jpg,http://115.29.12.234/Esri/story/samples/hengyang/phgy.jpg,
船山公园,为纪念王船山（王夫之）而建的，大片的草地很惬意,R,112.572232,26.888002,http://115.29.12.234/Esri/story/samples/hengyang/csgy.jpg,http://115.29.12.234/Esri/story/samples/hengyang/csgy.jpg,
衡阳少年宫,衡阳少年宫,R,112.605375,26.900183,http://115.29.12.234/Esri/story/samples/hengyang/sng.jpg,http://115.29.12.234/Esri/story/samples/hengyang/sng.jpg,
玉溪公园,玉溪公园,R,112.561248,26.924062,http://115.29.12.234/Esri/story/samples/hengyang/yxgy.jpg,http://115.29.12.234/Esri/story/samples/hengyang/yxgy.jpg,
南郊公园,南郊公园,R,112.632791,26.850411,http://115.29.12.234/Esri/story/samples/hengyang/njgy.jpg,http://115.29.12.234/Esri/story/samples/hengyang/njgy.jpg,
衡阳保卫战纪念馆,衡阳保卫战纪念馆位于衡阳市高新技术产业开发区新桥管理处第七组。景区内主要建筑系清代记名提督、振威将军陆成祖（1838—1891年）于光绪七年（1881年— 1887年）建造，距今已有125年历史。它是典型的湘南民居风格古建筑群，依山傍水，坐北朝南，平面略呈长方形，占地面积2640平方米，房屋为砖木结构，祖屋石木构件及山墙墀头、檐下、窗额等分别施雕刻、彩绘、堆塑，内容有“丹凤朝阳”、“玉兔望月”、“福禄寿喜”、“博古八宝”及珍禽瑞兽、人物花卉、如意云纹等祥瑞图案。,R,112.547683,26.885796,http://115.29.12.234/Esri/story/samples/hengyang/hybwzjng.jpg,http://115.29.12.234/Esri/story/samples/hengyang/hybwzjng.jpg,
衡阳动物园,衡阳动物园位于衡阳市中心城区，与岳屏公园为邻。动物园始建于1956年，1980年重新扩建开园，是湘南地区唯一的动物园，规模为全省第二，面积58亩，有山有水、错落有致、环境优美，园内绿化率达68%。现有动物笼舍面积6千余平方米，分七区：猛兽馆、猴山、鸟舍、草食动物区、爬行馆、毛皮动物馆、河马馆等。饲养动物品种58种，400多头（羽）。属于国家一类重点保护动物有：东北虎、金钱豹、梅花鹿、美洲虎、蟒蛇等十余种。二类保护动物有:非洲狮、黑熊、棕熊、猕猴、骆驼等数十种。海洋剧场——海狮表演精彩纷呈。漫步其中，小鸟啾,R,112.606384,26.889241,http://115.29.12.234/Esri/story/samples/hengyang/hydwy.jpg,http://115.29.12.234/Esri/story/samples/hengyang/hydwy.jpg,
雁峰公园,雁峰公园,R,112.61516,26.88794,http://115.29.12.234/Esri/story/samples/hengyang/yfgy.jpg,http://115.29.12.234/Esri/story/samples/hengyang/yfgy.jpg,
苗圃公园,苗圃公园,R,112.644794,26.877911,http://115.29.12.234/Esri/story/samples/hengyang/nopic.png,http://115.29.12.234/Esri/story/samples/hengyang/nopic.png,
衡阳博物馆,衡阳博物馆,R,112.607221,26.906703,http://115.29.12.234/Esri/story/samples/hengyang/hybwg.jpg,http://115.29.12.234/Esri/story/samples/hengyang/hybwg.jpg,
怡趣园,怡趣园,R,112.583274,26.875442,http://115.29.12.234/Esri/story/samples/hengyang/yqy.jpg,http://115.29.12.234/Esri/story/samples/hengyang/yqy.jpg,
森林公园,森林公园,R,112.556228,26.889792,http://115.29.12.234/Esri/story/samples/hengyang/slgy.jpg,http://115.29.12.234/Esri/story/samples/hengyang/slgy.jpg,
